ID,municipi,participacio,sisi,sino,siblanc,no,blanc,altres,vots,poblacio
80018,Abrera,30.64%,68.92%,15.20%,0.81%,9.61%,0.34%,5.11%,2954,9640
80023,Aguilar de Segarra,65.87%,91.24%,1.46%,1.46%,0.73%,2.19%,2.92%,137,208
80039,Alella,50.75%,83.74%,10.58%,0.59%,2.15%,0.54%,2.40%,4047,7974
80044,Alpens,69.14%,96.05%,0.00%,1.13%,1.13%,1.13%,0.56%,177,256
80057,Ametlla del Vallès. l',53.94%,87.44%,7.40%,0.82%,2.38%,0.31%,1.64%,3526,6537
80060,Arenys de Mar,45.49%,88.61%,6.10%,0.82%,2.05%,0.51%,1.91%,5855,12870
80076,Arenys de Munt,55.52%,89.68%,4.91%,0.62%,1.86%,0.54%,2.38%,3866,6963
80082,Argençola,52.38%,92.93%,5.05%,0.00%,1.01%,0.00%,1.01%,99,189
80095,Argentona,51.06%,86.32%,7.60%,0.55%,3.18%,0.53%,1.82%,4936,9667
80109,Artés,54.37%,89.75%,4.91%,0.95%,1.42%,0.63%,2.33%,2528,4650
80116,Avià,70.81%,95.44%,2.24%,0.45%,0.22%,0.30%,1.34%,1339,1891
80121,Avinyó,63.33%,90.88%,2.44%,1.55%,0.81%,1.63%,2.69%,1228,1939
80137,Avinyonet del Penedès,54.58%,88.89%,5.29%,1.19%,1.59%,0.40%,2.65%,756,1385
80142,Aiguafreda,60.70%,88.14%,5.54%,1.40%,3.51%,1.01%,0.39%,1282,2112
80155,Badalona,27.13%,72.51%,14.42%,1.10%,6.75%,0.46%,4.76%,49580,182725
80168,Bagà,51.93%,87.87%,5.44%,0.57%,2.39%,1.15%,2.58%,1047,2016
80174,Balenyà,54.33%,85.68%,5.38%,1.27%,3.38%,0.85%,3.44%,1655,3046
80180,Balsareny,46.64%,85.73%,5.56%,1.21%,4.78%,1.36%,1.36%,1402,3006
80193,Barcelona,36.25%,78.42%,12.88%,0.91%,4.49%,0.56%,2.74%,507454,1400003
80207,Begues,50.02%,83.13%,10.64%,0.81%,2.98%,0.31%,2.13%,2585,5168
80214,Bellprat,47.50%,89.47%,2.63%,2.63%,5.26%,0.00%,0.00%,38,80
80229,Berga,54.94%,92.61%,2.76%,0.49%,1.35%,0.56%,2.23%,7718,14048
80235,Bigues i Riells,42.96%,84.70%,7.37%,0.94%,3.82%,0.23%,2.95%,2986,6950
80240,Borredà,65.54%,87.54%,3.65%,0.91%,3.34%,0.61%,3.95%,329,502
80253,Bruc. el,46.34%,86.75%,7.36%,0.94%,4.02%,0.13%,0.80%,747,1612
